Arabic	English
كان سامي يلقي خطابا في القسم.	sami was giving a speech in class.
كان سامي يلكم الجدار و يترك فيه ثقوبا.	sami punched holes in the wall.
كان سامي يلكم ليلي حتي عندما كانت حاملا بعده أشهر.	sami used to punch layla even when she was several months pregnant.
كان سامي يلهث.	sami was panting.
كان سامي يلوح بكشاف بشكل محموم.	sami was frantically waving a flashlight.
كان سامي يمارس الجنس مع الكلاب.	sami had sex with dogs.
كان سامي يمارس الطب.	sami practised medicine.
كان سامي يمارس الطب بدون رخصه.	sami was practising medicine without a license.
كان سامي يمثل أهم شيء في حياه ليلي.	sami was layla's life.
كان سامي يمثل خطرا لنفسه.	sami was dangerous to himself.
كان سامي يمضي الوقت مع امرأه.	sami was spending time with a woman.
كان سامي يمضي وقتا متزايدا مع ليلي.	sami was spending more and more time with layla.
كان سامي يمضي وقته المتميز مع إخوته.	sami was spending quality time with his siblings.
كان سامي يمضي وقته المميز مع إخوانه.	sami was spending quality time with his siblings.
كان سامي يملك دخيره ستيرويدات تكفيه مدي الحياه.	sami had a life-time supply of steroids.
كان سامي يملك ذلك المنزل.	sami owned this house.
كان سامي يملك قصرا انجليزيا شامخا.	sami owned a majestic english manor.
كان سامي يملك مالا.	sami had money.
كان سامي يموت.	sami was dying.
كان سامي ينام و تحت وسادته مسدس.	sami slept with a gun under his pillow.
كان سامي ينبه بالبوق.	sami was honking.
كان سامي ينتظر اتصال ليلي.	sami waited for layla's call.
كان سامي ينتظر أجوبه بشكل ميؤوس.	sami was desperate for answers.
كان سامي ينتظر أحدا.	sami was waiting for someone.
كان سامي ينتظر أخبارا.	sami was waiting for news.
كان سامي ينتظر الحكم.	sami was waiting for the verdict.
كان سامي ينتظر خارج المحكمه.	sami was waiting outside the courtroom.
كان سامي ينتظر شيئا.	sami was waiting for something.
كان سامي ينتظر في الحانه.	sami was waiting at the bar.
كان سامي ينتظر في الخارج.	sami was waiting outside.
كان سامي ينتظر في المطبخ.	sami was waiting in the kitchen.
كان سامي ينتظر في المنزل.	sami was waiting at home.
كان سامي ينتظر في صف.	sami was waiting in line.
كان سامي ينتظر في مخبأ.	sami was waiting in hiding.
كان سامي ينتظر ليلي.	sami was waiting for layal.
كان سامي ينتظر ليلي.	sami was waiting for layla.
كان سامي ينتظرني.	sami was waiting for me.
كان سامي ينتظرها.	sami was waiting for her.
كان سامي ينعم بحياه ممتعه.	sami was enjoying a leisurely life.
كان سامي يهمس.	sami was whispering.
كان سامي يهوي ليلي.	sami adored layla.
كان سامي يواجه عقوبه قصوي تصل إلي ست مئه سنه سجنا.	sami faced a maximum of six hundred years behind bars.
كان سامي يواصل عيش حياته.	sami was carrying on his life.
كان سامي يواعد الفتيات السود.	sami dated black girls.
كان سامي يواعد ليلي.	sami dated layla.
كان سامي يواعد ليلي.	sami was dating layla.
كان ساني يتحرك ببطؤ.	sami moved slowly.
كان ساني يحب أن يأتي إلي المنزل كي يري أبناءه.	sami loved coming home to see his children.
كان ساني يريد قضاء عطلته في جزيره مداريه.	sami wanted to spend his holidays on a tropical island.
كان ساني يعتقد أن كل المسلمين إرهابيون.	sami believed that all muslims were terrorists.
كان سرطان سامي لا يزال يتجاوب بشكل جيد مع العلاج.	sami's cancer was still responding well to treatment.
كان سعيدا جدا.	he was very happy.
كان سقوط جدار برلين حقا مناسبه بالغه الأهميه.	the falling of the berlin wall was truly a momentous occasion.
كان سيخبرني بالحقيقه إذا كنت سألته.	he would tell me the truth, if i would ask him.
كان شجاعا.	he was brave.
كان شعر ليلي قصيرا و بني.	layla had short brown hair.
كان شعره أبيضا.	he had grey hair.
كان شيخ كبيرا قد عمي.	he was an old man and had lost his eyesight.
كان صالون حلاقه سامي نجاحا فوريا.	sami's hair salon was an instant success.
كان صبي ليلي سيولد يوم السادس من يونيو، 2006.	layla's baby was due june, 6th.
كان صوت سامي غريبا حقا.	sami had a really weird voice.
كان صوت سامي غليظا جدا.	sami had a very deep voice.
كان صوت سامي مليئا بالقلق.	sami's voice was filled with concern.
كان طوله ثمانيه أمتار.	it was eight meters long.
كان عاده ما يناديني إتشيرو.	he called me ichiro.
كان عطشانا جدا فطلب القليل من الماء.	he was very thirsty and asked for some water.
كان عقابهم قاسيا ولكنه عادل.	their punishment was harsh, but just.
كان علي الأرجح غير صحيح.	it was probably not true.
كان علي المدرس أن يقيم جميع الطلب.	the teacher had to evaluate all the students.
كان علي أن أحجز في الفندق مسبقا.	i ought to have made a hotel reservation earlier.
كان علي أن أستقيل.	i had to resign.
كان علي أن أغادر أبكر.	i should have left earlier.
كان علي أن أكتب إنشاءا.	i had to work on an essay.
كان علي توم أن يكون هناك.	tom should've been there.
كان علي سامي السفر لأميال كي يجد ماءا شروبا.	sami had to travel miles to get safe drinking water.
كان علي سامي أن يجلب المساعده لليلي.	sami needed to get layla help.
كان علي سامي أن يذهب إلي الدراسه.	sami had to go to class.
كان علي سامي أن يذهب إلي المدرسه.	sami had school.
كان علي فعل هذا منذ أشهر خلت.	i should've done this months ago.
كان عليك إخبار توم بذلك.	you were supposed to tell tom that.
كان عليك المجيء البارحه.	you had to come yesterday.
كأن عليك أن تأتي إلي هنا مبكرا.	you ought to have come here earlier.
كان عليك أن تخبرني أبكر.	you should have told it to me sooner.
كان عليك أن تدرس الإنجليزيه.	you had to study english.
كان عليك أن تراه.	you must have seen him.
كان عليك أن ترفض عرضه.	you should have refused his offer.
كان عليك أن تري سامي.	you should have seen sami.
كان عليك أن تعمل بجهد أكبر.	you should have worked harder.
كان عليك أن تكون قد بدأت الآن.	you should have started by now.
كان عليك تحذيره مسبقا.	you should have warned him before.
كان عليك فعل ذلك.	you should have done so.
كان عليك قبول نصيحته.	you should have accepted his advice.
كان عليك مشاهده ذلك الفلم.	you should have seen that movie.
كان علي ليلي إجراء معليه جراحيه أخري في القلب.	layla had to undergo another heart surgery.
